period_begin,asset_value_momentum,occupancy,rank_desirability,remote_work_share
2019-01-31,-0.00944623,0.78909592,25.0,3.28
2019-02-28,-0.00944623,0.79452244,25.0,3.37
2019-03-31,-0.00944623,0.79452244,25.0,3.11
2019-04-30,-0.01258002,0.79452244,25.0,3.42
2019-05-31,-0.01258002,0.79452244,25.0,3.84
2019-06-30,-0.01606139,0.79452244,25.0,3.22
2019-07-31,-0.01606139,0.79452244,25.0,3.25
2019-08-31,-0.02186099,0.78207029,33.0,3.4
2019-09-30,-0.02186099,0.78207029,33.0,4.0
2019-10-31,-0.01841829,0.78185531,33.0,3.81
2019-11-30,-0.01841829,0.78185531,33.0,3.69
2019-12-31,-0.01841829,0.78185531,33.0,3.84
2020-01-31,-0.02390225,0.78185531,33.0,3.77
2020-02-29,-0.03651738,0.79312786,33.0,4.04
2020-03-31,-0.03651738,0.79312786,33.0,4.56
2020-04-30,-0.04442348,0.78882884,33.0,10.69
2020-05-31,-0.14570265,0.78882884,33.0,8.86
2020-06-30,-0.14570265,0.78882884,33.0,8.17
2020-07-31,-0.14022583,0.78578822,33.0,8.5
2020-08-31,-0.14003108,0.7857899,35.0,9.5
2020-09-30,-0.14560174,0.7857899,35.0,10.5
2020-10-31,-0.14560174,0.7857899,35.0,9.97
2020-11-30,-0.14560174,0.7857899,35.0,8.97
2020-12-31,-0.14560174,0.7857899,35.0,9.64
2021-01-31,-0.1344197,0.786,35.0,9.41
2021-02-28,-0.12479231,0.75699254,19.0,10.7
2021-03-31,-0.12479231,0.75699254,19.0,9.93
2021-04-30,-0.09540672,0.755,19.0,8.86
2021-05-31,-0.09540672,0.755,19.0,9.36
2021-06-30,-0.09540672,0.755,19.0,8.87
2021-07-31,-0.00622615,0.754,19.0,8.6
2021-08-31,1.226e-05,0.754,19.0,9.47
2021-09-30,1.226e-05,0.754,19.0,10.2
2021-10-31,0.03916773,0.754,19.0,10.31
2021-11-30,0.03916773,0.754,19.0,10.76
2021-12-31,0.03916773,0.754,19.0,10.47
2022-01-31,0.02639238,0.754,19.0,12.32
2022-02-28,0.0261901,0.74513625,21.0,11.78
2022-03-31,0.0261901,0.74513625,21.0,11.35
2022-04-30,0.04778116,0.742,21.0,11.26
2022-05-31,0.04778116,0.742,21.0,12.04
2022-06-30,0.04778116,0.742,21.0,12.87
2022-07-31,0.04975925,0.738,21.0,11.9
2022-08-31,0.00895238,0.738,14.0,10.59
2022-09-30,-0.01653987,0.738,14.0,11.72
2022-10-31,-0.01653987,0.738,14.0,13.38
2022-11-30,-0.1300927,0.738,14.0,11.89
2022-12-31,-0.1300927,0.738,14.0,11.47
2023-01-31,-0.13077472,0.738,14.0,11.68
2023-02-28,-0.19448409,0.78657428,13.0,11.64
2023-03-31,-0.19448409,0.78657428,13.0,10.8
2023-04-30,-0.32019754,0.789,13.0,11.29
2023-05-31,-0.32019754,0.789,13.0,10.37
2023-06-30,-0.33837733,0.789,13.0,10.43
2023-07-31,-0.33837733,0.789,13.0,10.05
2023-08-31,-0.38162888,0.789,15.0,10.64
2023-09-30,,,,
2023-10-31,,,,
2023-11-30,,,,
2023-12-31,,,,
2024-01-31,,,,
2024-02-29,,,,
2024-03-31,,,,
2024-04-30,,,,
2024-05-31,,,,
2024-06-30,,,,
2024-07-31,,,,
2024-08-31,,,,
2024-09-30,,,,
2024-10-31,,,,
2024-11-30,,,,
2024-12-31,,,,
2025-01-31,,,,
2025-02-28,,,,
2025-03-31,,,,
2025-04-30,,,,
2025-05-31,,,,
2025-06-30,,,,
2025-07-31,,,,
2025-08-31,,,,
2025-09-30,,,,
2025-10-31,,,,
2025-11-30,,,,
2025-12-31,,,,
