,City,Percentage Missing median_ppsf
0,Abilene,28.947368421052634
1,Addison,20.175438596491226
2,Aiken,26.31578947368421
8,Allen,30.701754385964914
9,Allentown,15.789473684210526
10,Alpharetta,22.36842105263158
11,Altamonte Springs,22.807017543859647
19,Ankeny,21.71945701357466
20,Ann Arbor,28.50877192982456
21,Annapolis,20.614035087719298
23,Apex,32.01754385964912
24,Apopka,16.666666666666664
28,Arlington Heights,16.228070175438596
32,Athens,21.052631578947366
35,Auburn Hills,29.82456140350877
36,Augusta,30.316742081447963
38,Austell,42.10526315789473
40,Avondale,51.81818181818182
45,Baytown,32.01754385964912
46,Beachwood,43.42105263157895
47,Beaumont,23.684210526315788
50,Bel Air,24.12280701754386
51,Belleville,21.052631578947366
55,Bentonville,28.947368421052634
60,Beverly Hills,28.07017543859649
61,Billerica,17.105263157894736
65,Bloomfield,50.877192982456144
71,Bossier City,32.748538011695906
73,Bothell,20.175438596491226
82,Brea,22.807017543859647
87,Bridgewater,16.666666666666664
90,Broken Arrow,35.96491228070175
93,Broomfield,21.49122807017544
94,Brownsville,33.33333333333333
96,Buena Park,15.789473684210526
99,Buford,35.08771929824561
101,Burleson,51.461988304093566
102,Burlingame,35.526315789473685
105,Camarillo,20.614035087719298
107,Camden,26.75438596491228
109,Canonsburg,26.75438596491228
113,Carmel,21.929824561403507
119,Castle Rock,20.614035087719298
120,Cedar Park,33.33333333333333
122,Cerritos,31.140350877192986
123,Champaign,25.0
124,Chandler,18.859649122807017
126,Chapel Hill,15.789473684210526
130,Chattanooga,78.57142857142857
132,Cherry Hill,15.789473684210526
134,Chesterfield,32.16374269005848
137,Chico,18.859649122807017
138,Chino,15.350877192982457
140,Cincinnati,20.175438596491226
141,Circle Pines,30.994152046783626
142,Clackamas,61.8421052631579
145,Clermont,30.263157894736842
148,Clovis,29.82456140350877
150,Colorado Springs,100.0
154,Compton,19.298245614035086
157,Conshohocken,20.175438596491226
159,Conyers,18.859649122807017
160,Coppell,35.526315789473685
161,Coraopolis,47.80701754385965
165,Council Bluffs,17.105263157894736
166,Covina,15.350877192982457
169,Cumming,31.140350877192986
170,Cupertino,15.350877192982457
171,Cypress,21.49122807017544
173,Dalton,30.263157894736842
174,Daly City,18.421052631578945
175,Danbury,17.84037558685446
179,Davis,27.192982456140353
182,Dearborn,17.105263157894736
184,Deerfield,24.12280701754386
188,Denton,24.561403508771928
190,Depew,31.57894736842105
192,Des Plaines,16.228070175438596
194,Dothan,50.90909090909091
195,Douglasville,36.40350877192983
197,Downers Grove,21.929824561403507
199,Draper,27.192982456140353
200,Duarte,33.771929824561404
201,Dublin,17.543859649122805
203,Dulles,87.71929824561403
204,Duluth,21.49122807017544
210,Eau Claire,29.385964912280706
212,Edison,35.96491228070175
213,Edmond,26.75438596491228
217,El Segundo,17.105263157894736
219,Elizabeth,39.91228070175439
220,Elk Grove,32.01754385964912
222,Elkhart,29.777777777777775
223,Elmhurst,24.561403508771928
224,Elyria,21.49122807017544
225,Emeryville,46.92982456140351
232,Evansville,18.58407079646018
234,Exton,45.614035087719294
237,Fairfield,17.543859649122805
239,Falls Church,24.12280701754386
243,Fenton,25.146198830409354
247,Flint,33.980582524271846
249,Flower Mound,40.845070422535215
250,Folsom,15.350877192982457
251,Fontana,15.789473684210526
252,Fort Belvoir,86.60714285714286
255,Fort Mill,34.64912280701755
258,Fort Smith,22.36842105263158
259,Fort Wayne,19.736842105263158
262,Fountain Valley,22.36842105263158
267,Fredericksburg,23.24561403508772
269,Fresno,24.12280701754386
273,Gaithersburg,24.561403508771928
274,Gallatin,17.982456140350877
280,Garner,41.66666666666667
281,Gastonia,16.666666666666664
283,Germantown,17.982456140350877
284,Gilbert,25.438596491228072
286,Glen Burnie,21.49122807017544
289,Golden,23.684210526315788
290,Goleta,25.877192982456144
291,Goodyear,15.204678362573098
293,Grand Prairie,16.666666666666664
294,Grand Rapids,15.789473684210526
295,Grapevine,47.368421052631575
299,Greensburg,50.877192982456144
301,Greenwich,19.21182266009852
302,Greenwood,31.140350877192986
304,Grove City,38.59649122807017
305,Hackensack,16.228070175438596
307,Hamilton,16.228070175438596
308,Hammond,26.75438596491228
311,Harlingen,50.69124423963134
313,Harrisonburg,16.228070175438596
314,Hartford,19.736842105263158
317,Helena,15.789473684210526
322,Hickory,32.45614035087719
324,Hilliard,25.146198830409354
326,Hoboken,28.50877192982456
330,Holyoke,22.36842105263158
331,Honolulu,35.96491228070175
333,Horsham,21.052631578947366
335,Huntersville,46.05263157894737
338,Hurst,35.08771929824561
339,Hyattsville,25.0
