,City,Percentage Missing median_ppsf
0,Abilene,28.947368421052634
1,Addison,20.175438596491226
2,Aiken,26.31578947368421
3,Akron,10.526315789473683
4,Alameda,3.070175438596491
5,Albany,0.0
6,Alexandria,8.333333333333332
7,Aliso Viejo,0.0
8,Allen,30.701754385964914
9,Allentown,15.789473684210526
10,Alpharetta,22.36842105263158
11,Altamonte Springs,22.807017543859647
12,Amarillo,4.385964912280701
13,Ames,9.67741935483871
14,Amherst,0.0
15,Anaheim,0.43859649122807015
16,Anchorage,0.0
17,Anderson,5.701754385964912
18,Andover,5.701754385964912
19,Ankeny,21.71945701357466
20,Ann Arbor,28.50877192982456
21,Annapolis,20.614035087719298
22,Antioch,4.385964912280701
23,Apex,32.01754385964912
24,Apopka,16.666666666666664
25,Appleton,9.210526315789473
26,Arcadia,3.070175438596491
27,Arlington,0.0
28,Arlington Heights,16.228070175438596
29,Arvada,9.210526315789473
30,Ashburn,0.0
31,Asheville,7.894736842105263
32,Athens,21.052631578947366
33,Atlanta,0.0
34,Auburn,0.0
35,Auburn Hills,29.82456140350877
36,Augusta,30.316742081447963
37,Aurora,2.1929824561403506
38,Austell,42.10526315789473
39,Austin,0.0
40,Avondale,51.81818181818182
41,Bakersfield,14.035087719298245
42,Baltimore,0.0
43,Baton Rouge,0.0
44,Battle Creek,11.11111111111111
45,Baytown,32.01754385964912
46,Beachwood,43.42105263157895
47,Beaumont,23.684210526315788
48,Beaverton,9.210526315789473
49,Bedford,1.3157894736842104
50,Bel Air,24.12280701754386
51,Belleville,21.052631578947366
52,Bellevue,2.1929824561403506
53,Bellingham,0.8771929824561403
54,Bend,2.1929824561403506
55,Bentonville,28.947368421052634
56,Berkeley,14.035087719298245
57,Bethesda,0.0
58,Bethlehem,7.017543859649122
59,Beverly,3.508771929824561
60,Beverly Hills,28.07017543859649
61,Billerica,17.105263157894736
62,Billings,0.43859649122807015
63,Birmingham,1.7543859649122806
64,Bismarck,3.125
65,Bloomfield,50.877192982456144
66,Bloomfield Hills,0.0
67,Bloomington,1.3157894736842104
68,Boca Raton,9.649122807017543
69,Boise,0.0
70,Bolingbrook,1.7543859649122806
71,Bossier City,32.748538011695906
72,Boston,0.0
73,Bothell,20.175438596491226
74,Boulder,4.385964912280701
75,Bowie,1.7543859649122806
76,Bowling Green,9.35672514619883
77,Boynton Beach,11.403508771929824
78,Bozeman,12.719298245614036
79,Bradenton,2.1929824561403506
80,Braintree,9.210526315789473
81,Brandon,12.719298245614036
82,Brea,22.807017543859647
83,Bremerton,8.333333333333332
84,Brentwood,6.140350877192982
85,Bridgeport,0.0
86,Bridgeton,14.035087719298245
87,Bridgewater,16.666666666666664
88,Brighton,11.403508771929824
89,Brockton,3.508771929824561
90,Broken Arrow,35.96491228070175
91,Brookfield,7.894736842105263
92,Brookline,9.649122807017543
93,Broomfield,21.49122807017544
94,Brownsville,33.33333333333333
95,Bryan,4.824561403508771
96,Buena Park,15.789473684210526
97,Buffalo,1.3157894736842104
98,Buffalo Grove,0.0
99,Buford,35.08771929824561
100,Burbank,0.8771929824561403
101,Burleson,51.461988304093566
102,Burlingame,35.526315789473685
103,Burlington,0.0
104,Burnsville,11.842105263157894
105,Camarillo,20.614035087719298
106,Cambridge,0.0
107,Camden,26.75438596491228
108,Campbell,6.578947368421052
109,Canonsburg,26.75438596491228
110,Canton,0.43859649122807015
111,Cape Coral,1.7543859649122806
112,Carlsbad,3.508771929824561
113,Carmel,21.929824561403507
114,Carol Stream,1.1695906432748537
115,Carrollton,5.701754385964912
116,Carson,10.526315789473683
117,Carson City,10.526315789473683
118,Cary,12.280701754385964
119,Castle Rock,20.614035087719298
120,Cedar Park,33.33333333333333
121,Cedar Rapids,2.923976608187134
122,Cerritos,31.140350877192986
123,Champaign,25.0
124,Chandler,18.859649122807017
125,Chantilly,3.508771929824561
126,Chapel Hill,15.789473684210526
127,Charleston,0.43859649122807015
128,Charlotte,0.43859649122807015
129,Charlottesville,9.210526315789473
130,Chattanooga,78.57142857142857
131,Chelmsford,11.403508771929824
132,Cherry Hill,15.789473684210526
133,Chesapeake,3.9473684210526314
134,Chesterfield,32.16374269005848
135,Cheyenne,6.140350877192982
136,Chicago,0.0
137,Chico,18.859649122807017
138,Chino,15.350877192982457
139,Chula Vista,3.070175438596491
140,Cincinnati,20.175438596491226
141,Circle Pines,30.994152046783626
142,Clackamas,61.8421052631579
143,Clarksville,3.9473684210526314
144,Clearwater,0.43859649122807015
145,Clermont,30.263157894736842
146,Cleveland,0.0
147,Clifton,0.8771929824561403
