,period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type,occupancy,age_median,airport_distance,airport_volume,railroad_distance,rank_desirability,rank_fiscal_health_tax,CPI,Inflation,Avg_household_size,Median_household_income,Employment_in_industry,Employment_in_services,Employment_in_agriculture,Labor_force_participation_rate,Real_GDP_per_capita,Real_GDP_per_worker,Prop_GVA_industries,Prop_GVA_construction,Male_15_64,Female_15_64,Prop_further_educ,Pop_growth,Real_GDP_growth,Unemp_growth
0,2019-01-31,196239.8571428572,207199.2857142857,106.62017808859824,103.8499959396826,42.71428571428572,28.83333333333333,55.42857142857143,200.7142857142857,7.3,86.83333333333333,0.9361277979642258,0.1049678249678249,0.3423809523809524,0.2649305555555555,0.15,0.0,AR,Fayetteville,Single Family Residential,,,,,,,,,,,,,,,,,,,,,,,,,
1,2019-02-28,213928.57142857145,232562.41666666663,99.85869506178808,120.3044508753207,45.57142857142857,32.0,68.83333333333333,208.57142857142856,4.985714285714286,74.85714285714286,0.9724741416234978,0.215386756187925,0.1724601035501588,0.1718359031581794,0.5,-0.0634165422345436,AR,Fayetteville,Single Family Residential,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-03-31,192771.4285714285,252564.2857142857,104.73696999660014,120.80796122935872,63.85714285714285,41.333333333333336,69.14285714285714,208.7142857142857,4.357142857142857,114.71428571428572,0.9563165470538156,0.1281920500956336,0.2525152543534896,0.3214392387779484,1.3,0.0488517793247107,AR,Fayetteville,Single Family Residential,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019-04-30,190564.2857142857,220008.25,97.41659366108767,103.27039713461782,65.42857142857143,48.333333333333336,84.0,210.28571428571428,3.242857142857143,91.0,0.987812348270124,0.2988280056014046,0.3879894179894179,0.3714088612584852,1.73,-0.06989295504491,AR,Fayetteville,Single Family Residential,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019-05-31,220710.7142857143,246553.57142857145,109.22602611605478,117.29124217764289,79.85714285714286,50.42857142857143,83.85714285714286,213.42857142857144,2.685714285714286,66.85714285714286,0.9831058735731908,0.1826807179371486,0.2479657477025897,0.2292001882338016,1.67,0.1212260869647334,AR,Fayetteville,Single Family Residential,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019-06-30,218300.0,171445.8125,107.6561354930116,98.50063999630744,58.75,54.333333333333336,67.25,191.5,4.55,43.125,0.9915289139593588,0.2598441174513825,0.2383333333333332,0.1700731454316381,0.87,-0.0143728622093707,AR,Fayetteville,Single Family Residential,,,,,,,,,,,,,,,,,,,,,,,,,
6,2019-07-31,191117.8571428572,212741.66666666663,90.65506127019673,113.57873410438266,77.71428571428571,60.16666666666666,84.66666666666667,246.66666666666663,2.8666666666666667,43.57142857142857,0.9554160593685356,0.1759997597272904,0.30141065830721,0.2117268133923112,0.29,-0.1579201607503223,AR,Fayetteville,Single Family Residential,,,,,,,,,,,,,,,,,,,,,,,,,
7,2019-08-31,204387.5,215310.7142857143,110.7776594872322,124.01283362632344,55.75,44.0,75.28571428571429,221.42857142857144,3.185714285714286,58.25,0.9774193166402876,0.1414914630823721,0.308325144070367,0.2731373980698133,0.51,0.2219688336767014,AR,Fayetteville,Single Family Residential,,,,,,,,,,,,,,,,,,,,,,,,,
8,2019-09-30,207850.0,216464.2857142857,104.25430522039676,109.98082500749466,61.285714285714285,54.0,65.14285714285714,222.8571428571429,4.057142857142857,89.28571428571429,0.9581727364032814,0.1642348434975162,0.2836290551069556,0.2357575348627979,1.41,-0.0588869118288899,AR,Fayetteville,Single Family Residential,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019-10-31,193375.0,203750.0,109.70232067208252,116.04113752007912,75.0,50.66666666666666,74.0,252.5,4.55,54.833333333333336,0.9703557367553552,0.221471677681418,0.3764445699228307,0.117524314765694,2.08,0.0522569829626555,AR,Fayetteville,Single Family Residential,,,,,,,,,,,,,,,,,,,,,,,,,
