period_begin,occupancy,age_median,airport_distance,airport_volume,railroad_distance,asset_value_momentum,rank_desirability,rank_fiscal_health_tax,CPI,Inflation,Avg_household_size,Median_household_income,Employment_in_industry,Employment_in_services,Employment_in_agriculture,Labor_force_participation_rate,Real_GDP_per_capita,Real_GDP_per_worker,Prop_GVA_industries,Prop_GVA_construction,Male_15_64,Female_15_64,Prop_further_educ,Pop_growth,Real_GDP_growth,Unemp_growth,remote_work_share,State,City,Property_Type
2019-01-31,0.95196096,32.8813411,11.32484972,475703664.0,1.82152569,0.06570048,29.0,14.0,117.37,2.53,3.03,80196.0,13.99,85.95,0.04,69.35,68506.13,153064.23,40.85,6.21,0.99,1.03,68.47,1.12,3.83,-13.79,4.9,UT,Salt Lake City,Industrial
2019-02-28,0.95536523,32.8813411,11.32484972,475703664.0,1.82152569,0.09148356,29.0,7.0,117.37,2.53,3.03,80196.0,13.99,85.95,0.04,69.35,68506.13,153064.23,40.85,6.21,0.99,1.03,68.47,1.12,3.83,-13.79,5.33,UT,Salt Lake City,Industrial
2019-03-31,0.95536523,32.8813411,11.23867997,475703664.0,2.34466208,0.09148356,29.0,7.0,117.37,2.53,3.03,80196.0,13.99,85.95,0.04,69.35,68506.13,153064.23,40.85,6.21,0.99,1.03,68.47,1.12,3.83,-13.79,4.19,UT,Salt Lake City,Industrial
2019-04-30,0.95278978,32.8813411,11.23867997,475703664.0,2.34466208,0.08378933,29.0,7.0,117.37,2.53,3.03,80196.0,13.99,85.95,0.04,69.35,68506.13,153064.23,40.85,6.21,0.99,1.03,68.47,1.12,3.83,-13.79,4.11,UT,Salt Lake City,Industrial
2019-05-31,0.95278978,32.8813411,11.23867997,475703664.0,2.34466208,0.08378933,29.0,7.0,117.37,2.53,3.03,80196.0,13.99,85.95,0.04,69.35,68506.13,153064.23,40.85,6.21,0.99,1.03,68.47,1.12,3.83,-13.79,4.67,UT,Salt Lake City,Industrial
2019-06-30,0.95317197,32.8813411,11.23867997,475703664.0,2.34466208,0.05938213,29.0,7.0,117.37,2.53,3.03,80196.0,13.99,85.95,0.04,69.35,68506.13,153064.23,40.85,6.21,0.99,1.03,68.47,1.12,3.83,-13.79,4.15,UT,Salt Lake City,Industrial
2019-07-31,0.95317197,32.8813411,11.23867997,475703664.0,2.34466208,0.05938213,29.0,7.0,117.37,2.53,3.03,80196.0,13.99,85.95,0.04,69.35,68506.13,153064.23,40.85,6.21,0.99,1.03,68.47,1.12,3.83,-13.79,2.92,UT,Salt Lake City,Industrial
2019-08-31,0.95401051,33.15905702,11.91371998,441406252.0,2.55313037,0.06342676,18.0,2.0,117.37,2.53,3.03,80196.0,13.99,85.95,0.04,69.35,68506.13,153064.23,40.85,6.21,0.99,1.03,68.47,1.12,3.83,-13.79,3.34,UT,Salt Lake City,Industrial
2019-09-30,0.95401051,33.15905702,11.91371998,441406252.0,2.55313037,0.06342676,18.0,2.0,117.37,2.53,3.03,80196.0,13.99,85.95,0.04,69.35,68506.13,153064.23,40.85,6.21,0.99,1.03,68.47,1.12,3.83,-13.79,4.05,UT,Salt Lake City,Industrial
2019-10-31,0.95401058,33.15905702,11.91371998,441406252.0,2.55313037,0.06717439,18.0,2.0,117.37,2.53,3.03,80196.0,13.99,85.95,0.04,69.35,68506.13,153064.23,40.85,6.21,0.99,1.03,68.47,1.12,3.83,-13.79,4.18,UT,Salt Lake City,Industrial
