period_begin,asset_value_momentum,occupancy,rank_desirability,remote_work_share
2019-01-31,0.06960541,0.93396096,44.0,5.86
2019-02-28,0.06960541,0.93799536,44.0,5.72
2019-03-31,0.06960541,0.93799536,44.0,4.09
2019-04-30,0.0727871,0.94478978,44.0,4.98
2019-05-31,0.0727871,0.94478978,44.0,4.93
2019-06-30,0.0468571,0.94517197,44.0,5.39
2019-07-31,0.0468571,0.94517197,44.0,4.18
2019-08-31,0.07463144,0.94601033,43.0,4.3
2019-09-30,0.07463144,0.94601033,43.0,6.45
2019-10-31,0.08502078,0.9460104,43.0,5.73
2019-11-30,0.08502078,0.9460104,43.0,4.66
2019-12-31,0.08502078,0.9460104,43.0,4.33
2020-01-31,0.12374996,0.9460104,43.0,4.7
2020-02-29,0.12740916,0.95175706,43.0,5.96
2020-03-31,0.12740916,0.95175706,43.0,5.36
2020-04-30,0.10904656,0.94803641,43.0,8.43
2020-05-31,-0.00828018,0.94803641,43.0,7.97
2020-06-30,-0.00828018,0.94803641,43.0,8.08
2020-07-31,-0.00828018,0.94800962,43.0,7.81
2020-08-31,0.03326505,0.94800262,37.0,9.81
2020-09-30,0.09239722,0.94800262,37.0,8.69
2020-10-31,0.09239722,0.94800262,37.0,11.14
2020-11-30,0.09239722,0.94800262,37.0,10.37
2020-12-31,0.09239722,0.94800262,37.0,10.12
2021-01-31,0.09508512,0.948,37.0,10.99
2021-02-28,0.07553696,0.93534011,30.0,12.28
2021-03-31,0.07553696,0.93534011,30.0,13.08
2021-04-30,0.08029942,0.938,30.0,12.33
2021-05-31,0.08029942,0.938,30.0,11.66
2021-06-30,0.08029942,0.938,30.0,11.79
2021-07-31,0.29476441,0.938,30.0,11.65
2021-08-31,0.2908961,0.938,30.0,16.13
2021-09-30,0.2908961,0.938,30.0,13.1
2021-10-31,0.4341118,0.947,30.0,13.42
2021-11-30,0.4341118,0.947,30.0,13.95
2021-12-31,0.4341118,0.947,30.0,11.11
2022-01-31,0.47814552,0.948,30.0,12.78
2022-02-28,0.48985681,0.95376828,30.0,13.26
2022-03-31,0.48985681,0.95376828,30.0,13.15
2022-04-30,0.33717835,0.958,30.0,14.29
2022-05-31,0.33717835,0.958,30.0,16.61
2022-06-30,0.33717835,0.958,30.0,16.59
2022-07-31,0.17743962,0.96,30.0,14.84
2022-08-31,0.09695496,0.96,30.0,13.27
2022-09-30,-0.10782104,0.962,30.0,14.93
2022-10-31,-0.10782104,0.962,30.0,16.25
2022-11-30,-0.2509457,0.962,30.0,15.46
2022-12-31,-0.2509457,0.962,30.0,14.82
2023-01-31,-0.21094818,0.958,29.0,13.49
2023-02-28,-0.23162037,0.98384372,22.0,15.0
2023-03-31,-0.23162037,0.98384372,22.0,15.12
2023-04-30,-0.24152096,0.972,22.0,15.48
2023-05-31,-0.24152096,0.972,22.0,13.18
2023-06-30,-0.14593707,0.972,22.0,12.89
2023-07-31,-0.11952276,0.972,22.0,12.33
2023-08-31,-0.0394391,0.972,41.0,12.33
2023-09-30,,,,
2023-10-31,,,,
2023-11-30,,,,
2023-12-31,,,,
2024-01-31,,,,
2024-02-29,,,,
2024-03-31,,,,
2024-04-30,,,,
2024-05-31,,,,
2024-06-30,,,,
2024-07-31,,,,
2024-08-31,,,,
2024-09-30,,,,
2024-10-31,,,,
2024-11-30,,,,
2024-12-31,,,,
2025-01-31,,,,
2025-02-28,,,,
2025-03-31,,,,
2025-04-30,,,,
2025-05-31,,,,
2025-06-30,,,,
2025-07-31,,,,
2025-08-31,,,,
2025-09-30,,,,
2025-10-31,,,,
2025-11-30,,,,
2025-12-31,,,,
